year,season,censusdone,start_month,start_day,end_month,end_day
1981,summer,yes,7,31,unknown,unknown
1982,winter,yes,4,10,4,12
1982,summer,yes,9,8,9,11
1983,winter,yes,4,17,4,23
1983,summer,yes,8,28,8,30
1984,winter,yes,3,6,3,14
1984,summer,yes,9,15,9,16
1985,winter,yes,unknown,unknown,unknown,unknown
1985,summer,yes,unknown,unknown,unknown,unknown
1986,winter,yes,unknown,unknown,unknown,unknown
1986,summer,yes,unknown,unknown,unknown,unknown
1987,winter,yes,unknown,unknown,unknown,unknown
1987,summer,yes,unknown,unknown,unknown,unknown
1988,winter,yes,4,9,4,15
1988,summer,yes,9,5,9,15
1989,winter,yes,3,28,4,3
1989,summer,yes,9,3,9,13
1990,winter,yes,4,25,4,28
1990,summer,yes,8,13,8,20
1991,winter,yes,4,20,4,22
1991,summer,yes,8,17,8,26
1992,winter,yes,4,21,5,14
1992,summer,yes,8,31,9,8
1993,winter,yes,4,24,5,9
1993,summer,yes,9,11,9,15
1994,winter,yes,3,30,4,3
1994,summer,yes,8,22,8,22
1995,winter,yes,3,30,4,9
1995,summer,yes,9,2,9,6
1996,winter,yes,4,3,4,3
1996,summer,yes,9,1,9,4
1997,winter,yes,3,20,3,27
1997,summer,yes,8,16,8,20
1998,winter,yes,4,4,4,9
1998,summer,yes,8,26,9,2
1999,winter,yes,4,2,4,5
1999,summer,yes,8,18,8,22
2000,winter,yes,4,6,4,7
2000,summer,yes,9,8,9,12
2001,winter,yes,3,24,3,29
2001,summer,yes,8,30,9,3
2002,winter,yes,4,4,4,7
2002,summer,yes,8,28,9,4
2003,winter,yes,4,2,4,5
2003,summer,yes,9,1,9,4
2004,winter,yes,3,25,3,30
2004,summer,yes,9,3,9,7
2005,winter,yes,3,16,3,18
2005,summer,yes,9,5,9,6
2006,winter,yes,3,22,3,22
2006,summer,yes,9,4,9,7
2007,winter,yes,4,4,4,8
2007,summer,yes,9,5,9,9
2008,winter,yes,3,28,3,31
2008,summer,yes,9,12,9,15
2009,winter,yes,4,10,4,10
2009,summer,yes,9,21,9,23
2010,winter,no,none,none,none,none
2010,summer,no,none,none,none,none
2011,winter,yes,3,14,3,15
2011,summer,yes,10,1,10,3
2012,winter,yes,3,12,3,14
2012,summer,no,none,none,none,none
2013,winter,yes,3,12,3,14
2013,summer,no,none,none,none,none
2014,winter,yes,3,29,4,1
2014,summer,yes,8,30,9,3
2015,winter,yes,3,26,3,28
2015,summer,yes,8,22,8,25
2016,winter,yes,3,19,3,23
2016,summer,yes,9,3,9,6
2017,winter,yes,3,26,4,3
2017,summer,yes,9,9,9,12
2018,winter,yes,3,25,3,27
2018,summer,yes,8,29,8,31
2019,winter,yes,3,29,4,1
